shingle,notice_id
fatehpur telephone 09013,N000017
and 64 034,N000017
6 976 and,N000017
42 194 rmt,N000017
urba 2024 87664,N000017
windows 64 171,N000017
64 171 quintal,N000017
89 55 02,N000017
rs 31 35,N000017
709 and 64,N000017
68 827 sqm,N000017
55 02 683,N000017
02 683 experience,N000017
chainage 8 855,N000017
thick 42 194,N000017
and 88 320,N000017
29 533 rmt,N000017
87664 procuring entity,N000017
chainage 6 976,N000017
61 364 sqm,N000017
telephone 09013 704307,N000017
855 and 88,N000017
parulekar fatehpur urban,N000017
2024 87664 procuring,N000017
pit 55 598,N000017
35 79 922,N000017
1 400 and,N000017
39 65 00,N000017
and 65 433,N000017
chainage 1 400,N000017
400 and 65,N000017
65 433 of,N000017
engineer ramakrishna parulekar,N000017
rs 39 65,N000017
6 461 per,N000017
fatehpur city name,N000017
rs 6 461,N000017
79 922 bid,N000017
foundation 65 664,N000017
for fatehpur city,N000017
ramakrishna parulekar urban,N000017
34 709 and,N000017
infrastructure for fatehpur,N000017
fatehpur city including,N000017
chainage 34 709,N000017
and 44 939,N000017
44 939 of,N000017
fatehpur city tender,N000017
panel 1 227,N000025
tn 059468 2024,N000025
13 704 sqm,N000025
number tn 059468,N000025
45 658 sqm,N000025
and 70 916,N000025
75 412 rmt,N000025
69 249 of,N000025
32 615 and,N000025
chainage 1 291,N000025
48 903 of,N000025
39 554 only,N000025
jointing 75 412,N000025
chainage 9 876,N000025
1786 45 658,N000025
section 75 136,N000025
42 242 of,N000025
64 331 of,N000025
599085 electronic mail,N000025
55 864 each,N000025
and 47 671,N000025
foundation 59 040,N000025
and 48 903,N000025
transformer 10 454,N000025
telephone 03634 599085,N000025
1 291 and,N000025
84 170 of,N000025
47 671 of,N000025
64 72 664,N000025
and 69 249,N000025
059468 2024 procuring,N000025
and 64 331,N000025
bhilwara telephone 03634,N000025
2 64 72,N000025
chainage 32 615,N000025
26 218 and,N000025
finisher 55 864,N000025
and 84 170,N000025
pit 65 181,N000025
and 42 242,N000025
class 81 559,N000025
70 916 of,N000025
64 163 of,N000025
78 39 554,N000025
81 559 cum,N000025
043 and 64,N000025
03634 599085 electronic,N000025
structures 11 948,N000025
spoil 13 479,N000025
10 454 cum,N000025
wiring 13 704,N000025
chainage 26 218,N000025
816 and 70,N000025
9 876 and,N000025
59 040 sqm,N000025
surfaces 90 267,N000025
65 181 sqm,N000025
664 only experience,N000025
chainage 38 518,N000025
72 664 only,N000025
1 227 quintal,N000025
rupees 78 39,N000025
38 518 and,N000025
31 043 and,N000025
wate 2025 81189,N000033
81189 procuring entity,N000033
2025 81189 procuring,N000033
28 626 sqm,N000033
23 478 and,N000033
jointing 31 658,N000033
57 803 of,N000033
umashankar mahapatra water,N000033
06 63 119,N000033
07865 503833 electronic,N000033
and 48 671,N000033
742 and 83,N000033
transformer 53 645,N000033
78 625 experience,N000033
15 82 000,N000033
pit 33 418,N000033
63 119 bid,N000033
12 78 625,N000033
finisher 96 181,N000033
58 224 of,N000033
31 658 each,N000033
91 876 quintal,N000033
thick 5 679,N000033
bitumen 28 626,N000033
and 57 803,N000033
30 046 and,N000033
503833 electronic mail,N000033
7 90 80,N000033
driver 91 876,N000033
3 06 63,N000033
15 12 78,N000033
53 645 cum,N000033
157 and 57,N000033
39 157 and,N000033
48 671 of,N000033
17 353 mt,N000033
rs 15 12,N000033
301 and 58,N000033
and 55 138,N000033
mahapatra lakhisarai water,N000033
telephone 07865 503833,N000033
and 58 224,N000033
5 679 litre,N000033
chainage 39 157,N000033
chainage 23 478,N000033
lakhisarai telephone 07865,N000033
chainage 30 046,N000033
44 290 sqm,N000033
326 and 64,N000033
21 592 and,N000033
mm 44 290,N000033
33 418 rmt,N000033
55 138 of,N000033
chainage 21 592,N000033
96 181 rmt,N000033
trenching 17 353,N000033
mail mahapatra lakhisarai,N000033
64 452 of,N000033
57 265 of,N000033
592 and 57,N000033
and 57 265,N000033
and 64 452,N000033
chainage 37 897,N000033
and 83 199,N000033
2025 17729 procuring,N000041
chambal parbhani name,N000041
depa 2025 17729,N000041
17729 procuring entity,N000041
the chambal parbhani,N000041
17 018 cum,N000041
finisher 7 144,N000041
7 144 each,N000041
11 77 16,N000041
beads 22 302,N000041
in foundation 937,N000041
60 790 quintal,N000041
04934 247599 electronic,N000041
transformer 23 606,N000041
99 per litre,N000041
windows 84 360,N000041
29 51 86,N000041
77 16 358,N000041
wiring 85 863,N000041
85 863 cum,N000041
247599 electronic mail,N000041
590 and 54,N000041
jointing 17 018,N000041
22 302 quintal,N000041
signs 71 237,N000041
rangarajan parbhani department,N000041
foundation 937 cum,N000041
driver 73 640,N000041
thick 50 322,N000041
34 014 and,N000041
50 322 litre,N000041
works meenakshi rangarajan,N000041
surfaces 60 790,N000041
86 387 experience,N000041
84 360 mt,N000041
77 298 mt,N000041
71 237 quintal,N000041
pit 77 298,N000041
bitumen 4 493,N000041
27 010 cum,N000041
telephone 04934 247599,N000041
78 811 litre,N000041
staging 27 010,N000041
51 86 387,N000041
73 640 sqm,N000041
panel 78 811,N000041
1786 79 256,N000041
parbhani telephone 04934,N000041
23 606 cum,N000041
chainage 34 014,N000041
chainage 29 590,N000041
54 292 of,N000041
rs 29 51,N000041
mail rangarajan parbhani,N000041
foundation 65 664,N000041
65 664 litre,N000041
rs 11 77,N000041
and 54 292,N000041
29 590 and,N000041
4 493 quintal,N000041
25 86 00,N000041
rs 51 72,N000041
16 358 bid,N000041
education parbhani telephone,N000041
501 cum entry,N000049
2025 26 019931,N000049
019931 procuring entity,N000049
26 019931 procuring,N000049
inr 4 613,N000049
anand anand state,N000049
4 613 cr,N000049
2 282 cr,N000049
inr 2 282,N000049
613 cr experience,N000049
1 252 cr,N000049
inr 1 252,N000049
pit 20 559,N000049
20 559 mt,N000049
252 cr bid,N000049
51 501 cum,N000049
finisher 51 501,N000049
78 647 quintal,N000049
jointing 78 647,N000049
94 649 sqm,N000049
material 94 649,N000049
at anand anand,N000049
and 51 375,N000049
chainage 13 056,N000049
19 949 and,N000049
chainage 19 949,N000049
51 375 of,N000049
cum entry truncated,N000049
712 and 40,N000049
and 85 309,N000049
chainage 2 728,N000049
2 728 and,N000049
85 309 of,N000049
949 and 85,N000049
13 056 and,N000049
282 cr earnest,N000049
056 and 44,N000049
and 44 873,N000049
40 616 of,N000049
21 379 and,N000049
and 40 616,N000049
anand state procurement,N000049
chainage 33 712,N000049
44 873 of,N000049
chainage 21 379,N000049
33 712 and,N000049
ref 2025 15339,N000057
15339 procuring entity,N000057
2025 15339 procuring,N000057
58 545 experience,N000057
3 79 58,N000057
79 58 545,N000057
near jajpur name,N000057
1 73 88,N000057
73 88 627,N000057
88 627 bid,N000057
3 36 70,N000057
36 70 000,N000057
aug 15 2025,N000057
55 578 of,N000057
panel 7 796,N000057
revathi parulekar public,N000057
finisher 29 234,N000057
parulekar jajpur public,N000057
654 and 68,N000057
and 66 808,N000057
24 555 cum,N000057
38 205 quintal,N000057
605472 electronic mail,N000057
and 55 578,N000057
mail parulekar jajpur,N000057
sep 15 2025,N000057
68 657 of,N000057
spoil 35 592,N000057
foundation 24 982,N000057
088 and 66,N000057
627 bid validity,N000057
class 30 749,N000057
7 796 mt,N000057
foundation 42 689,N000057
chainage 37 142,N000057
pit 84 656,N000057
mm 68 776,N000057
2 225 rmt,N000057
jajpur telephone 03991,N000057
beads 65 368,N000057
structures 2 225,N000057
61 492 rmt,N000057
29 234 quintal,N000057
notice aug 15,N000057
and 68 657,N000057
24 902 and,N000057
24 982 litre,N000057
645 and 60,N000057
chainage 24 902,N000057
42 689 each,N000057
37 142 and,N000057
03991 605472 electronic,N000057
30 749 cum,N000057
68 776 cum,N000057
signs 61 492,N000057
windows 86 278,N000057
86 278 cum,N000057
66 808 of,N000057
thick 24 555,N000057
60 303 of,N000057
telephone 03991 605472,N000057
65 368 rmt,N000057
and 60 303,N000057
902 and 76,N000057
031529 procuring entity,N000065
5 482 litre,N000065
2 176 sqm,N000065
85 821 each,N000065
windows 85 821,N000065
21 379 each,N000065
2025 26 031529,N000065
and 64 099,N000065
pit 92 696,N000065
39 967 and,N000065
30 345 and,N000065
26 031529 procuring,N000065
chainage 23 593,N000065
48 976 of,N000065
64 099 of,N000065
jointing 2 176,N000065
23 593 and,N000065
46 483 sqm,N000065
92 696 each,N000065
24 056 quintal,N000065
and 48 976,N000065
35 582 mt,N000065
mukhopadhyay pudukkottai state,N000065
07923 461492 electronic,N000065
wiring 46 483,N000065
pudukkottai telephone 07923,N000065
staging 5 482,N000065
beads 83 482,N000065
chainage 39 967,N000065
telephone 07923 461492,N000065
chainage 30 345,N000065
83 482 rmt,N000065
structures 21 379,N000065
461492 electronic mail,N000065
foundation 35 582,N000065
prabhakaran mukhopadhyay state,N000065
345 and 64,N000065
646 cr experience,N000065
inr 2 646,N000065
78 712 of,N000065
249 cr earnest,N000065
2 646 cr,N000065
and 78 712,N000065
577 cr bid,N000065
mail mukhopadhyay pudukkottai,N000065
inr 0 577,N000065
0 577 cr,N000065
967 and 78,N000065
foundation 5 763,N000065
1 249 cr,N000065
5 763 each,N000065
trenching 24 056,N000065
engineer prabhakaran mukhopadhyay,N000065
inr 1 249,N000065
593 and 48,N000065
at pudukkottai state,N000065
pudukkottai state procurement,N000065
525 per sqm,N000065
7 506 per,N000065
rs 7 506,N000065
rs 3 525,N000065
3 525 per,N000065
129 68 lakh,N000073
2024 0002420 procuring,N000073
55 70 lakh,N000073
npas 2024 0002420,N000073
0002420 procuring entity,N000073
rs 129 68,N000073
bitumen 49 151,N000073
rs 55 70,N000073
class 81 768,N000073
70 004 each,N000073
section 82 018,N000073
37 033 each,N000073
49 151 cum,N000073
foundation 69 733,N000073
signs 3 907,N000073
rajeshwari parulekar municipal,N000073
69 733 each,N000073
599793 electronic mail,N000073
3 907 litre,N000073
75 205 litre,N000073
82 018 each,N000073
transformer 81 087,N000073
mm 70 004,N000073
35 029 sqm,N000073
material 70 200,N000073
134 and 41,N000073
02876 599793 electronic,N000073
foundation 41 229,N000073
84 272 litre,N000073
telephone 02876 599793,N000073
parulekar churu municipal,N000073
81 087 cum,N000073
structures 75 205,N000073
71 394 rmt,N000073
panel 37 033,N000073
41 229 quintal,N000073
staging 71 394,N000073
92 579 each,N000073
beads 92 579,N000073
churu telephone 02876,N000073
spoil 84 272,N000073
pit 35 029,N000073
76 10 lakh,N000073
notice 03 sep,N000073
12 449 and,N000073
and 56 601,N000073
56 601 of,N000073
70 200 sqm,N000073
28 134 and,N000073
chainage 12 449,N000073
chainage 28 134,N000073
81 768 sqm,N000073
and 41 007,N000073
officer rajeshwari parulekar,N000073
churu municipal gov,N000073
449 and 56,N000073
years rs 129,N000073
874 and 62,N000073
41 007 of,N000073
municipal corporation churu,N000073
mail parulekar churu,N000073
chainage 13 874,N000073
13 874 and,N000073
62 651 of,N000073
mm 70 575,N000081
2024 w 29580,N000081
26 034 and,N000081
29 527 sqm,N000081
chainage 26 034,N000081
52 586 of,N000081
11 442 mt,N000081
445 and 72,N000081
30 646 and,N000081
finisher 54 656,N000081
and 52 586,N000081
478976 electronic mail,N000081
and 71 186,N000081
54 656 litre,N000081
5 703 and,N000081
703 and 68,N000081
foundation 25 430,N000081
windows 6 986,N000081
panel 76 184,N000081
5 497 and,N000081
6 986 quintal,N000081
72 293 of,N000081
75 004 cum,N000081
foundation 75 004,N000081
47 960 of,N000081
70 575 each,N000081
71 186 of,N000081
646 and 47,N000081
29580 procuring entity,N000081
01 38 331,N000081
section 9 313,N000081
14 80 000,N000081
54 479 litre,N000081
sahasrabuddhe ganjam public,N000081
7 01 38,N000081
chainage 30 646,N000081
w 29580 procuring,N000081
497 and 71,N000081
chainage 5 497,N000081
pit 11 442,N000081
anirudh sahasrabuddhe public,N000081
jointing 29 527,N000081
68 531 of,N000081
telephone 04722 478976,N000081
17 926 and,N000081
chainage 5 703,N000081
and 47 960,N000081
38 331 experience,N000081
class 54 479,N000081
ganjam telephone 04722,N000081
12 081 bid,N000081
chainage 17 926,N000081
25 430 cum,N000081
and 68 531,N000081
926 and 48,N000081
76 184 rmt,N000081
51 12 081,N000081
and 72 293,N000081
ganjam city name,N000081
04722 478976 electronic,N000081
7 40 00,N000081
engineer anirudh sahasrabuddhe,N000081
669 and 52,N000081
14 669 and,N000081
accept or re,N000089
npas 2024 0081304,N000089
253 10 lakh,N000089
rs 253 10,N000089
0081304 procuring entity,N000089
2024 0081304 procuring,N000089
0081304 government of,N000089
198 29 lakh,N000089
2024 0081304 government,N000089
rs 534 30,N000089
or re entry,N000089
rs 198 29,N000089
years rs 534,N000089
534 30 lakh,N000089
tender rs 253,N000089
5 06 lakh,N000089
siddipet npas 2024,N000089
than rs 198,N000089
notice 11 aug,N000089
re entry truncated,N000089
60 366 of,N000089
11 aug 2024,N000089
43 202 rmt,N000089
07976 960418 electronic,N000089
chainage 39 403,N000089
1786 5 021,N000089
960418 electronic mail,N000089
hegde siddipet department,N000089
material 66 775,N000089
transformer 43 202,N000089
siddipet telephone 07976,N000089
76 196 rmt,N000089
39 403 and,N000089
034 and 66,N000089
and 60 366,N000089
telephone 07976 960418,N000089
finisher 76 196,N000089
and 66 804,N000089
34 530 litre,N000089
26 479 and,N000089
5 021 each,N000089
padmavathi hegde department,N000089
403 and 59,N000089
pit 61 536,N000089
and 59 343,N000089
59 343 of,N000089
mm 34 530,N000089
66 804 of,N000089
chainage 26 479,N000089
66 775 litre,N000089
22 sep 2024,N000089
9 106 and,N000089
chainage 9 106,N000089
chainage 12 034,N000089
96 163 cum,N000089
and 52 677,N000089
61 536 rmt,N000089
3 682 and,N000089
at siddipet npas,N000089
52 677 of,N000089
12 034 and,N000089
chainage 3 682,N000089
and 73 665,N000089
106 and 73,N000089
812 cr experience,N000097
units of dens,N000097
068689 procuring entity,N000097
of dens entry,N000097
2025 26 068689,N000097
dens entry truncated,N000097
26 068689 procuring,N000097
80 922 of,N000097
5 360 and,N000097
1 740 cr,N000097
37 507 and,N000097
chainage 5 360,N000097
chainage 37 507,N000097
inr 1 740,N000097
and 80 922,N000097
835 and 76,N000097
deogarh ward 27,N000097
and 85 782,N000097
and 69 788,N000097
inr 1 812,N000097
69 788 of,N000097
571 and 80,N000097
85 782 of,N000097
and 76 154,N000097
1 812 cr,N000097
360 and 80,N000097
76 154 of,N000097
23 571 and,N000097
chainage 36 163,N000097
chainage 23 571,N000097
and 80 403,N000097
80 403 of,N000097
507 and 69,N000097
36 163 and,N000097
163 and 85,N000097
296 cr bid,N000097
740 cr earnest,N000097
inr 1 296,N000097
1 296 cr,N000097
in deogarh ward,N000097
ward 27 state,N000097
27 state procurement,N000097
drains in deogarh,N000097
parishad deogarh district,N000097
zilla parishad deogarh,N000097
28 835 and,N000097
chainage 28 835,N000097
94 158 cum,N000105
2024 0006892 procuring,N000105
rs 158 01,N000105
beads 86 581,N000105
rs 414 00,N000105
69 598 cum,N000105
and 79 556,N000105
85 366 sqm,N000105
section 36 143,N000105
bitumen 42 533,N000105
64 525 of,N000105
158 01 lakh,N000105
86 391 mt,N000105
trenching 88 848,N000105
panel 838 cum,N000105
material 69 598,N000105
8 28 lakh,N000105
staging 86 391,N000105
pit 85 366,N000105
driver 45 904,N000105
42 533 litre,N000105
831 per entry,N000105
wiring 94 158,N000105
88 848 litre,N000105
tender rs 414,N000105
foundation 63 194,N000105
414 00 lakh,N000105
signs 72 713,N000105
and 64 525,N000105
86 581 cum,N000105
36 143 sqm,N000105
finisher 32 125,N000105
npas 2024 0006892,N000105
72 713 litre,N000105
79 556 of,N000105
63 194 litre,N000105
32 125 rmt,N000105
control panel 838,N000105
37 946 and,N000105
946 and 79,N000105
0006892 procuring entity,N000105
chainage 37 946,N000105
rs 708 08,N000105
708 08 lakh,N000105
9 124 and,N000105
chainage 9 124,N000105
years rs 708,N000105
45 904 sqm,N000105
than rs 158,N000105
scheme at fatehpur,N000105
124 and 64,N000105
598 cum at,N000105
rs 8 28,N000105
at fatehpur government,N000105
9 167 per,N000105
rs 9 167,N000105
ref 2025 25665,N000113
2025 25665 procuring,N000113
25665 procuring entity,N000113
mar 12 2025,N000113
bids mar 12,N000113
57 005 experience,N000113
1 33 90,N000113
01 57 005,N000113
44 32 179,N000113
33 90 000,N000113
32 179 bid,N000113
3 01 57,N000113
chandrapur city name,N000113
2 68 000,N000113
465248 electronic mail,N000113
91 159 cum,N000113
77 286 cum,N000113
36 204 mt,N000113
54 813 each,N000113
82 412 litre,N000113
24 576 cum,N000113
thick 36 204,N000113
61 047 rmt,N000113
37 958 litre,N000113
driver 25 256,N000113
class 37 958,N000113
32 489 sqm,N000113
1786 77 286,N000113
34 950 rmt,N000113
58 279 quintal,N000113
section 58 279,N000113
trenching 82 412,N000113
foundation 32 031,N000113
rs 44 32,N000113
mar 11 2025,N000113
signs 61 047,N000113
mm 20 971,N000113
pit 72 532,N000113
chandrapur telephone 02777,N000113
25 256 rmt,N000113
81 876 sqm,N000113
02777 465248 electronic,N000113
sathyanarayana chandrapur state,N000113
20 971 cum,N000113
telephone 02777 465248,N000113
72 532 each,N000113
jointing 91 159,N000113
transformer 81 876,N000113
foundation 24 576,N000113
5 270 litre,N000113
bitumen 34 950,N000113
wiring 54 813,N000113
surfaces 32 489,N000113
windows 5 270,N000113
works saraswathi sathyanarayana,N000113
64 730 of,N000113
and 64 730,N000113
saraswathi sathyanarayana state,N000113
chainage 13 616,N000113
notice jan 26,N000113
13 616 and,N000113
26 108 and,N000113
23 074 and,N000113
chainage 26 108,N000113
jointing 29 333,N000121
68 721 experience,N000121
67657 procuring entity,N000121
and 54 188,N000121
071 and 89,N000121
mm 57 020,N000121
wiring 10 930,N000121
chainage 0 797,N000121
57 020 each,N000121
and 89 359,N000121
71 978 cum,N000121
bitumen 33 952,N000121
54 188 of,N000121
depa 2024 67657,N000121
10 69 000,N000121
class 75 967,N000121
commissioner devendra nair,N000121
948 and 54,N000121
chainage 26 010,N000121
85 871 of,N000121
4 23 31,N000121
to shivamogga bhagalpur,N000121
832 and 85,N000121
63 809 litre,N000121
23 31 151,N000121
mail nair bhagalpur,N000121
telephone 05831 746510,N000121
4 640 mt,N000121
bhagalpur telephone 05831,N000121
010 and 70,N000121
458 and 47,N000121
surfaces 15 645,N000121
2024 67657 procuring,N000121
and 70 231,N000121
shivamogga bhagalpur name,N000121
12 071 and,N000121
chainage 12 071,N000121
746510 electronic mail,N000121
transformer 60 383,N000121
31 151 bid,N000121
driver 4 640,N000121
34 40 000,N000121
70 231 of,N000121
26 010 and,N000121
10 930 each,N000121
56 609 quintal,N000121
5 34 40,N000121
and 89 272,N000121
05831 746510 electronic,N000121
73 502 mt,N000121
spoil 10 427,N000121
signs 63 809,N000121
material 89 184,N000121
29 333 each,N000121
89 359 of,N000121
and 85 871,N000121
foundation 10 755,N000121
nair bhagalpur department,N000121
89 272 of,N000121
0 797 and,N000121
101 and 76,N000121
panel 26 475,N000121
section 96 420,N000121
beads 71 978,N000121
375 53 lakh,N000129
rs 375 53,N000129
0024593 procuring entity,N000129
15 28 lakh,N000129
764 00 lakh,N000129
1140 51 lakh,N000129
2025 0024593 procuring,N000129
rs 764 00,N000129
tender rs 764,N000129
will execute 373,N000129
rs 1140 51,N000129
years rs 1140,N000129
npas 2025 0024593,N000129
and 50 600,N000129
beads 3 373,N000129
45 009 each,N000129
telephone 09054 339533,N000129
97 888 litre,N000129
pit 59 132,N000129
chainage 13 166,N000129
47 686 rmt,N000129
166 and 89,N000129
driver 92 147,N000129
50 600 of,N000129
thick 10 828,N000129
than rs 375,N000129
buldhana telephone 09054,N000129
signs 54 153,N000129
and 89 549,N000129
92 147 each,N000129
umashankar sundaram municipal,N000129
1786 38 395,N000129
sundaram buldhana municipal,N000129
89 549 of,N000129
foundation 45 009,N000129
13 166 and,N000129
3 373 litre,N000129
09054 339533 electronic,N000129
339533 electronic mail,N000129
10 828 cum,N000129
38 395 mt,N000129
54 153 sqm,N000129
65 028 mt,N000129
31 512 mt,N000129
mm 65 028,N000129
staging 97 888,N000129
699 and 50,N000129
bitumen 31 512,N000129
windows 47 686,N000129
59 132 cum,N000129
432 and 75,N000129
271 and 78,N000129
37 651 and,N000129
38 432 and,N000129
73 734 of,N000129
chainage 37 354,N000129
282 and 73,N000129
37 354 and,N000129
rs 15 28,N000129
mail sundaram buldhana,N000129
chainage 38 432,N000129
354 and 72,N000129
22 feb 2025,N000129
and 73 734,N000129
0 284 cr,N000137
26 014716 state,N000137
014716 procuring entity,N000137
dungarpur spc 2025,N000137
2025 26 014716,N000137
26 014716 procuring,N000137
433 cr earnest,N000137
inr 0 284,N000137
014716 state procurement,N000137
0 469 cr,N000137
at dungarpur spc,N000137
0 433 cr,N000137
inr 0 469,N000137
inr 0 433,N000137
transformer 61 209,N000137
107 and 87,N000137
04846 522056 electronic,N000137
chainage 34 082,N000137
87 863 of,N000137
chainage 39 304,N000137
86 131 cum,N000137
panel 92 855,N000137
39 304 and,N000137
34 082 and,N000137
23 107 and,N000137
36 135 and,N000137
and 50 026,N000137
foundation 18 047,N000137
and 87 863,N000137
61 209 each,N000137
284 cr bid,N000137
92 855 sqm,N000137
dungarpur telephone 04846,N000137
jointing 59 950,N000137
50 026 of,N000137
chainage 36 135,N000137
chainage 23 107,N000137
71 922 cum,N000137
11 487 cum,N000137
telephone 04846 522056,N000137
wiring 86 131,N000137
director revathi bandyopadhyay,N000137
and 55 334,N000137
670 and 85,N000137
135 and 50,N000137
304 and 44,N000137
mm 11 487,N000137
section 71 922,N000137
18 047 rmt,N000137
55 334 of,N000137
028 and 49,N000137
522056 electronic mail,N000137
2025 10 20,N000137
31 670 and,N000137
09 10 last,N000137
mail bandyopadhyay dungarpur,N000137
469 cr experience,N000137
49 164 of,N000137
and 44 852,N000137
chainage 31 670,N000137
59 950 each,N000137
44 852 of,N000137
dispensary at dungarpur,N000137
and 49 164,N000137
rs 933 32,N000145
0046868 procuring entity,N000145
years rs 933,N000145
759 48 lakh,N000145
19 60 lakh,N000145
rs 759 48,N000145
2025 0046868 procuring,N000145
980 00 lakh,N000145
than rs 759,N000145
npas 2025 0046868,N000145
to jaunpur government,N000145
933 32 lakh,N000145
rs 980 00,N000145
tender rs 980,N000145
notice 20 apr,N000145
material 24 236,N000145
telephone 01910 535025,N000145
500 and 86,N000145
trenching 311 quintal,N000145
class 26 597,N000145
62 913 cum,N000145
45 373 each,N000145
structures 80 218,N000145
61 719 each,N000145
pit 52 072,N000145
01910 535025 electronic,N000145
and 63 179,N000145
transformer 38 340,N000145
foundation 81 874,N000145
63 179 of,N000145
and 76 955,N000145
56 072 of,N000145
69 978 litre,N000145
1786 14 871,N000145
jointing 85 241,N000145
535025 electronic mail,N000145
surfaces 3 022,N000145
chainage 37 500,N000145
65 656 mt,N000145
and 56 072,N000145
3 022 rmt,N000145
harshavardhan bandyopadhyay department,N000145
signs 66 910,N000145
including trenching 311,N000145
windows 10 139,N000145
26 597 cum,N000145
mahbubnagar telephone 01910,N000145
14 871 sqm,N000145
66 910 mt,N000145
and 89 537,N000145
77 548 mt,N000145
38 340 sqm,N000145
chainage 19 767,N000145
81 874 litre,N000145
chainage 32 628,N000145
works harshavardhan bandyopadhyay,N000145
wiring 72 783,N000145
72 783 each,N000145
thick 8 706,N000145
mm 61 719,N000145
767 and 89,N000145
chainage 0 733,N000145
49 265 sqm,N000145
finisher 22 812,N000145
100 76 lakh,N000153
npas 2025 0092020,N000153
tender rs 291,N000153
rs 291 00,N000153
rs 466 17,N000153
0092020 procuring entity,N000153
5 82 lakh,N000153
2025 0092020 procuring,N000153
291 00 lakh,N000153
466 17 lakh,N000153
rs 100 76,N000153
will execute 850,N000153
to junagadh government,N000153
years rs 466,N000153
than rs 100,N000153
chainage 25 816,N000153
kavitha chaudhary municipal,N000153
jointing 30 324,N000153
799614 electronic mail,N000153
patan telephone 09637,N000153
22 259 each,N000153
chaudhary patan municipal,N000153
30 324 quintal,N000153
chainage 27 996,N000153
patan to junagadh,N000153
91 008 mt,N000153
spoil 91 784,N000153
and 79 125,N000153
and 83 768,N000153
trenching 91 008,N000153
25 816 and,N000153
telephone 09637 799614,N000153
91 784 cum,N000153
27 996 and,N000153
class 22 259,N000153
and 58 495,N000153
09637 799614 electronic,N000153
79 125 of,N000153
patan municipal gov,N000153
mail chaudhary patan,N000153
chainage 23 958,N000153
12 842 each,N000153
23 958 and,N000153
foundation 12 842,N000153
58 495 of,N000153
816 and 79,N000153
83 768 of,N000153
34 416 and,N000153
municipal corporation patan,N000153
chainage 34 416,N000153
notice 23 apr,N000153
416 and 58,N000153
corporation patan telephone,N000153
23 apr 2025,N000153
48 724 of,N000153
and 48 724,N000153
958 and 48,N000153
engineer kavitha chaudhary,N000153
13 may 2025,N000153
996 and 83,N000153
corporation patan district,N000153
npas 2024 0044977,N000161
62 60 lakh,N000161
0044977 procuring entity,N000161
110 28 lakh,N000161
0044977 government of,N000161
1 25 lakh,N000161
2024 0044977 procuring,N000161
rs 110 28,N000161
2024 0044977 government,N000161
44 66 lakh,N000161
staging 58 741,N000161
and 75 461,N000161
signs 1 960,N000161
42 350 of,N000161
